Publicationobjectfromdate,Artcleversionheadline1,Artcleversioningressplain,Artcleversiontextplain,Channelobjectidf
39112.6858680556,SCA sells its North American packaging operations,,"SCA has signed an agreement for the sale of its North American packaging operations. The purchaser is Metalmark Capital, and the purchase price amounts to 400 million Dollars. The transaction is expected to be completed during the first quarter of this year. The purchase price will be paid in cash",Engelska nyheter
39115.6905671296,System test 2,,System test 2,Engelska nyheter
39115.6936342593,System test 3,,System test 3,Engelska nyheter
39118.5002199074, ABB wins 32 million Dollars contract from Sappi,,"ABB has received a 32 million Dollars order from Sappi for upgrading

the world’s largest chemical cellulose plant, located near Durban in

South Africa. The project will increase the plant’s pulp capacity from

about 585,000 tons per year to more than 800,000 tons.",Engelska nyheter
39118.5061458333,Holmen to invest 435 million Kronor at Braviken,,"Holmen has decided to invest 435 million Kronor in a new,

energy-efficient line for production of thermo-mechanical pulp at the

Braviken paper mill near Norrköping. The new line will replace a line

from 1977, the year when Braviken first came into production. Metso

Paper has received an order from Holmen to deliver the new TMP line.",Engelska nyheter
39118.6119675926,UPM tops sustainability report card,,"UPM has been named the top environmental supplier of paper to the

world's largest magazine publisher. In Time Inc.'s annual review of the

environmental performance of its paper suppliers, UPM had the highest

score.",Engelska nyheter
39119.365474537,Tappi award to Norwegian professor,,"The 2007 Tappi Gunnar Nicholson Gold Medal will be awarded to 

Peder J Kleppe from Norway, whose work has made significant

contributions to kraft pulping. The Gunnar Nicholson Gold Medal is the

highest honor that Tappi can bestow upon an individual.",Engelska nyheter
39119.4515046296,Swedish Tissue orders new paper machine,,"International technology group Andritz has received an order to supply

a CrescentFormer tissue machine to Swedish Tissue in Kisa, south of

Linköping. The order comes with Swedish Tissue´s owner, British LPC

Group, carrying out a widespread expansion program, and with the

company having successfully operated an Andritz PrimeLine tissue

machine with a shoe press at its Leicester site for over four years.",Engelska nyheter
39119.5320717593,NBSK index continues upwards,,Foex NBSK pulp index has continued to rise during th past week and is today at record level 751.45 Dollars per ton.,Engelska nyheter
39119.5380439815,M-real continues to bleed,,"M-real's result for 2006 before taxes, excluding non-recurring items,

improved to a loss of 92 million Euros from a loss of142 million in the

previous year. The operating result excluding non-recurring items

amounted to 45 million Euros (four million in 2005).",Engelska nyheter
39120.6243865741,Marcus Wallenberg Prize to Swedish researcher,,"The Marcus Wallenberg Prize for 2007 is awarded to professor Ove

Nilsson, Sweden, for his pathbreaking discovery on the regulation of

flowering in trees and its translation into tree growth and development.",Engelska nyheter
39120.6282407407,M-real continues to bleed – 600 to lose their jobs,,"M-real is still bleeding and yet another crisis package was launched

yesterday. Around 600 M-real employees in Finland will lose their jobs.

M-real's result for 2006 before taxes, excluding non-recurring items,

was a loss of 92 million Euros,",Engelska nyheter
39120.6320949074,Norske Skog investing at Skogn mill,,"Norske Skog is to invest 330 million Norwegian Kroner at its Skogn mill

in mid-Norway in order to boost its competitiveness and further improve

the quality of the paper it produces.",Engelska nyheter
39121.3980439815,28.8 billion Kroner operating income for Norske Skog,,"Major organisational changes and the launch of an extensive turnaround

program characterised 2006 for Norske Skog. The turnaround had already

provided an improvement of 400 million Norwegian Kroner in the second

half of the year. For 2006 as a whole gross operating earnings before

special items came to 4.7 billion Norwegian Kroner - an increase of 700

million Kroner from 2005.",Engelska nyheter
39121.4065162037,Stora Enso reports net profit of 589.2 million Euros,,"Stora Enso reports a net profit of 589.2 million Euros for 2006. The

fourth quarter operating profit, excluding non-recurring items, was

largely unchanged from the third quarter. Sales volumes and some prices

rose moderately from the previous quarter.",Engelska nyheter
39121.65,Metso purchases IP rights from Sandusky,,"Metso Paper has acquired the intellectual property rights (IPR) to

certain paper machinery technology from Sandusky Technologies Limited.",Engelska nyheter
39122.3876157407,SMS to set up maintenance center at Plattling,,"Scandinavian Mill Service (SMS), will establish and operate maintenance

services at the new Plattling Papier mill, next to Myllykoski’s MD

Plattling mill in Germany.",Engelska nyheter
39122.6567824074,M-real to raise kraftliner prices,,"M-real has announced price increase plans for white-top kraftliner in

Europe. The reason is the increases in the production input costs,",Engelska nyheter
39125.3637037037,Forest industries essential for rural areas,,"The entire forest cluster's income taxes and social security

contributions in Finland total three billion Euros annually. This is a

very important factor for the rural areas, according to a statement by

the Finnish Forest Industry Federation.",Engelska nyheter
39125.3704398148,Russia increasing export duties for roundwood,,"The Russian government has decided to increase the export duty on

roundwood timber from four to at least ten Euros per cubic meter.",Engelska nyheter
39125.4301736111,Pöyry signing record contract in Brazil,,"Pöyry's Forest Industry business group has signed a services agreement

in Brazil valued at 54 million Euros. That is the largest services

agreement ever in Pöyry's history.",Engelska nyheter
39125.685150463,New incentive plan for key persons within UPM,,The Board of Directors of UPM has approved a new share-based incentive plan for the Group key personnel. ,Engelska nyheter
39126.3984953704,Dismay among M-real employees,,"The announcement that an additional 600 jobs at M-real’s plants in

Finland would disappear has been received with dismay among the

employees.",Engelska nyheter
39126.480775463,Metso Paper inaugurates rebuilt pilot paper machine,,"Metso Paper today inaugurated the rebuilt pilot paper machine PM2 at

the Metso Paper Technology Center in Jyväskylä. The rebuild, including

a totally new felt change system, has given PM2 a design speed of 3,000

meter per minute.",Engelska nyheter
39127.3636226852,Södra Cell to invest 380 million Kronor,,"Södra Cell has decidded on an investment program worth 380 million

Kronor.",Engelska nyheter
39127.3744675926,Strong improvement by Billerud,,"Billerud´s operating profit soared to 552 million Kronor in 2006,

compared to a loss of 200 million in 2005. That is a rise of 752

million Kronor.",Engelska nyheter
39128.4499768518,Record amount of Finnish pulp and pape,,"Finland produced 14.1 million tons of paper and paperboard in 2006,

which was more than ever before. Chemical and mechanical pulp

production also reached an all-time high of over 13 million tons.",Engelska nyheter
39132.3641319444,BTG to change name,,The Swedish and German companies in the BTG group will change names to respectively BTG Instruments AB and BTG Instruments GmbH.,Engelska nyheter
39132.3830902778,LPC acquires former SCA mill,,"The LPC Group, owner of Swedish Tissue, has further expanded its

operations with the purchase of the Roanne paper mill in France.",Engelska nyheter
39132.6422337963,UPM boosts supplier assessment practices in Russia,,"UPM has boosted its supplier assessment practices in Russia by

increasing the number of assessments and developing the methodology.",Engelska nyheter
39133.4520138889,Vietnamese paper industry plans to expand,,"Investments amounting to almost six billion Dollars have been

appropriated for expansion and modernization of the Vietnamese pulp and

paper industry.",Engelska nyheter
39133.4581134259,Union victory in Malaysia,,"The paper workers at Malaysian Newsproduction (MNI), partly owned by

Norske Skog, have secured the right to form a trade union. This follows

a decision by government authorities.",Engelska nyheter
39134.4597800926,SKF launching energy saving bearings and production solutions,,"SKF has launched several new products and

services aiming at reducing energy consumption and increasing

productivity in the pulp and paper industry.",Engelska nyheter
39134.5632407407,Yet another PM start-up in China,,"Lee & Man Paper Manufacturing has started up a new Metso-supplied

containerboard machine at its greenfield mill in Changshu, China,

Jiangsu, last Saturday.",Engelska nyheter
39135.5533333333,Metso Paper to sell its Swiss subsidiary,,"Metso Paper has sold the majority of Metso Paper AG in Switzerland but

will remain a minority shareholder in the company for a transitional

period.",Engelska nyheter
39135.6857523148,Swedish pulp production increased 2006,,"The Swedish pulp production increased during 2006, according to newly published statistics.",Engelska nyheter
39136.3788078704,Ahlstrom to expand in Brazil,,"Ahlstrom has signed a memorandum of understanding with Brazilian

Votorantim Celulose e Papel, VCP, to form a joint venture for specialty

paper production in Brazil.",Engelska nyheter
39136.4437384259,Paper and board production up two percent in Sweden,,"In 2006 the Swedish paper and board production reached 12.1 million tons, an increase of two percent compared to  2005.",Engelska nyheter
39136.5756944444,Companies lay out global framework to fight climate change,,"Stora Enso has joined a wide range of companies and organizations from

around the world to endorse The Path to Climate Sustainability: A Joint

Statement by the Global Roundtable on Climate Change.",Engelska nyheter
39139.5582407407,UPM sells Walki Wisa,,"UPM has signed an agreement on the sale of the Walki Wisa Group, a business unit of UPM's Converting Division.",Engelska nyheter
39139.5916435185,Loparex to invest in Thailand,,"Loparex will start release liner printing and slitting operations in

Thailand. The new terminal will service Thailand and other countries in

Asia.",Engelska nyheter
39140.4801273148,RFID tags from UPM Raflatac to Korean car industry,,"Hyundai/Kia Motors Group is to implement RFID technology to improve the

visibility of its automotive parts supply chain. UPM Raflatacwill

deliver the RFID tags.",Engelska nyheter
39141.3643402778,Voith to deliver winder for SCA Aschaffenburg,,"SCA has ordered from Voith Paper a winder for corrugating medium and testliner for PM1 at Aschaffenburg mill, Germany.",Engelska nyheter
39141.4141435185,UPM Raflatac doubles the production capacity in Finland ,,"UPM Raflatac, a leading manufacturer of RFID tags and inlays, will

double the RFID tag and inlay production capacity at its Jyväskylä

production plant.",Engelska nyheter
39141.480775463,New SMS roll service center in Spain,,"Metso Paper owned SMS (Scandinavian Mill Service) has opened a new roll service center in Zaragoza, Spain.",Engelska nyheter
39141.6504398148,Corrugated packaging manufacturers urge caution on environmental claims,,"Manufacturers of corrugated board packaging are urging fruit and

vegetable growers, distributors and retailers in Europe to be cautious

about plastic manufacturers´ sweeping environmental claims, based on

life cycle

assessment studies.",Engelska nyheter
39142.3836805556,SCA to invest in new tissue machine,,"The SCA Board of Directors has approved an investment in a new tissue

paper machine for SCA´s mill in Barton, Alabama, USA. The investment

amounts to 145 million Dollars.",Engelska nyheter
39142.6050347222,BIM to create new company in Spain,,"BIM Kemi continues to expand in Europeand creates a new local  operation in Spain, BIM Spain SL, in Barcelona.",Engelska nyheter
39142.6397685185,Grøholt to step down as Norske Skog chair,,"Lars Wilhelm Grøholt, chair of the board of Norske Skog, does not wish to seek re-election.",Engelska nyheter
39143.3818171296,Andritz reports strong rise in net income,,"In 2006 Andritz achieved record results. Sales increased to 2,709.7

million Euros (+55.3 percent from 2005), and order intake at almost 2.9

billion Euros reached a new record level (+46.4 percent).",Engelska nyheter
39146.3981134259,Metso receives its first QCS order from India,,"Metso Automation has been awarded its first paper quality control

system (QCS) order in India. The customer is the Indian paper producer

Sripathi Paper & Boards Ltd.",Engelska nyheter
39146.4936111111,New enterprises create over 100 jobs in Voikkaa,,"Eight companies operating at the Voikkaa Business Yard located on the

premises of the closed UPM paper mill have so far employed over 100

former mill employees.",Engelska nyheter
39147.3791550926,WWF: Large portion of Russian timber illegally harvested,,"""Black” timber from Russia is included in imported timber used in the

Nordic forest-products industry, claims a new report from the Worldwide

Fund for Nature, WWF.",Engelska nyheter
39147.3888425926,CEPI: European Energy Policy puts paper industry at risk,,"The European industries using renewable raw materials from agriculture

and forestry are increasingly concerned about the European Commission’s

narrow focus on targets for renewable energies.",Engelska nyheter
